Slno,Year,Month,Average,,,,,,
1,2010,January,0,2010,,,,,
2,2010,Feburary,0,,,,,,
3,2010,March,0,,,,,,
4,2010,April,0,,1,6.4,,Mar-10,0
5,2010,May,0,,2,5.3,,Apr-10,0
6,2010,June,0,,3,5.011,,May-10,0
7,2010,July,0,,4,5.05,,Jun-10,0
8,2010,August,0.032721194,,5,5.115,,Jul-10,0
9,2010,September,0.066369767,,6,6.04,,Aug-10,0.032721194
10,2010,October,0.117820581,,7,8.02,,Sep-10,0.066369767
11,2010,November,0.2847599,,8,11.42,,Oct-10,0.117820581
12,2010,December,0.251689258,,9,11.64,,Nov-10,0.2847599
13,2011,January,0.365283065,2011,10,12.02,,Dec-10,0.251689258
14,2011,Feburary,0.968261143,,11,11.57,,Jan-11,0.365283065
15,2011,March,0.880233065,,12,13.45,,Feb-11,0.968261143
16,2011,April,1.304114433,,13,15.85,,Mar-11,0.880233065
17,2011,May,6.61185129,,14,26.15,,Apr-11,1.304114433
18,2011,June,19.64518033,,15,57.67,,May-11,6.61185129
19,2011,July,14.75936255,,16,130.85,,Jun-11,19.64518033
20,2011,August,10.98789702,,17,120.53,,Jul-11,14.75936255
21,2011,September,6.440761333,,18,107.98,,Aug-11,10.98789702
22,2011,October,3.899055161,,19,90.09,,Sep-11,6.440761333
23,2011,November,2.826189,,20,107.62,,Oct-11,3.899055161
24,2011,December,3.600647742,,21,125.17,,Nov-11,2.826189
25,2012,January,6.4,2012,22,153.18,,Dec-11,3.600647742
26,2012,Feburary,5.3,,23,538.1,,,
27,2012,March,5.011,,24,790.45,,,
28,2012,April,5.05,,25,821.14,,,
29,2012,May,5.115,,26,666.89,,,
30,2012,June,6.04,,27,594.3245,,,
31,2012,July,8.02,,28,461.24,,,
32,2012,August,11.42,,29,487.014,,,
33,2012,September,11.64,,30,613.369,,,
34,2012,October,12.02,,31,619.52,,,
35,2012,November,11.57,,32,537.75,,,
36,2012,December,13.45,,33,445.0073,,,
37,2013,January,15.85,2013,34,363.5174,,,
38,2013,Feburary,26.15,,35,366.2183,,,
39,2013,March,57.67,,36,343.12,,,
40,2013,April,130.85,,37,249.27,,,
41,2013,May,120.53,,38,233.74,,,
42,2013,June,107.98,,39,268.133,,,
43,2013,July,90.09,,40,234.606,,,
44,2013,August,107.62,,41,237.14,,,
45,2013,September,125.17,,42,237.27,,,
46,2013,October,153.18,,43,279.8868,,,
47,2013,November,538.1,,44,252.8161,,,
48,2013,December,790.45,,45,233.819,,,
49,2014,January,821.14,2014,46,265.3845,,,
50,2014,Feburary,666.89,,47,349.286,,,
51,2014,March,594.3245,,48,422.0223,,,
52,2014,April,461.24,,49,909.75,,,
53,2014,May,487.014,,50,1063,,,
54,2014,June,613.369,,51,1129.2,,,
55,2014,July,619.52,,52,1221.495,,,
56,2014,August,537.75,,53,1881.412,,,
57,2014,September,445.0073,,54,2621.315,,,
58,2014,October,363.5174,,55,2516.766,,,
59,2014,November,366.2183,,56,3889.113,,,
60,2014,December,343.12,,57,4129.81,,,
61,2015,January,249.27,2015,58,5332.258,,,
62,2015,Feburary,233.74,,59,7792.849,,,
63,2015,March,268.133,,60,15234.93,,,
64,2015,April,234.606,,61,13047.25,,,
65,2015,May,237.14,,62,9111.05,,,
66,2015,June,237.27,,,,,,
67,2015,July,279.8868,,,,,,
68,2015,August,252.8161,,,,,,
69,2015,September,233.819,,,,,,
70,2015,October,265.3845,,,,,,
71,2015,November,349.286,,,,,,
72,2015,December,422.0223,,,,,,
73,2016,January,909.75,2016,,,,,
74,2016,Feburary,1063,,,,,,
75,2016,March,1129.2,,,,,,
76,2016,April,1221.495,,,,,,
77,2016,May,1881.412,,,,,,
78,2016,June,2521.315,,,,,,
79,2016,July,2516.766,,,,,,
80,2016,August,3509.113,,,,,,
81,2016,September,4209.81,,,,,,
82,2016,October,5332.258,,,,,,
83,2016,November,6532.849,,,,,,
84,2016,December,14234.93,2016,,,,,
85,2017,January,13047.25,2017,,,,,
86,2017,Feburary,9150.05,,,,,,
87,2017,March,1129.199654,,,,,,
88,2017,April,2221.494591,,,,,,
89,2017,May,1481.412023,,,,,,
90,2017,June,2621.31484,,,,,,
91,2017,July,2516.765687,,,,,,
92,2017,August,3889.11334,,,,,,
93,2017,September,4129.810017,,,,,,
94,2017,October,5332.258253,,,,,,
95,2017,November,7792.848741,,,,,,
96,2017,December,15234.9268,,,,,,
97,2018,January,13347.2513,2018,,,,,
98,2018,Feburary,9111.04932,,,,,,
